wavelength_nm,diameter_mm,myopia_d,threshold_stroke_arcmin,threshold_log_mar,threshold_detected,threshold_status,optical_d50_arcmin,optical_mar_arcmin,optical_log_mar
550.0,0.3,0.5,4.970293879263908,0.6963820680833087,True,resolved,5.5895789540651135,1.3973947385162784,0.14531910371176304
550.0,0.3315885423378064,0.5,4.502864779479297,0.6534889053445155,True,resolved,5.057935926010706,1.2644839815026765,0.10191333206788118
550.0,0.3665032046990376,0.5,4.0883727450098695,0.6115504844165803,True,resolved,4.5772355313380295,1.1443088828345074,0.05854326921570227
550.0,0.4050942113609619,0.5,3.69434642148252,0.5675376171151048,True,resolved,4.142728766339762,1.0356821915849406,0.015226508676094553
550.0,0.4477486635155488,0.5,3.3298724741617853,0.5224276014257332,True,resolved,3.7501555963399618,0.9375388990849904,-0.028010704072250706
550.0,0.4492873987401234,0.5,3.3186932959910154,0.5209671180267231,True,resolved,3.737398851199006,0.9343497127997515,-0.029490543563517824
550.0,0.47293410393697205,0.5,3.1578662520724214,0.4993937320000209,True,resolved,3.551908113311556,0.887977028327889,-0.051598269130724156
550.0,0.4948944222294061,0.5,3.0234499237697623,0.4805027799502072,True,resolved,3.395711745396012,0.848927936349003,-0.07112917450786936
550.0,0.4965808091338207,0.5,3.0135311864722696,0.47907569025979024,True,resolved,3.3842963984468186,0.8460740996117047,-0.07259159955764707
550.0,0.5470044002605323,0.5,2.7398170241221087,0.4377215598760308,True,resolved,3.076023262797929,0.7690058156994822,-0.11407037578160802
550.0,0.5502624373878341,0.5,2.723196143885479,0.43507892343297366,True,resolved,3.058086046462328,0.764521511615582,-0.11661029018036222
550.0,0.5792236183029833,0.5,2.5827509876127674,0.412082536286037,True,resolved,2.90772227842246,0.726930569605615,-0.13850706737632093
550.0,0.6046013057825199,0.5,2.4694071621364615,0.3925927034152682,True,resolved,2.788130323948162,0.6970325809870405,-0.15674692145409258
550.0,0.6081847992181325,0.5,2.455065733344196,0.3900631246652938,True,resolved,2.772073299286001,0.6930183248215003,-0.1592552816022759
550.0,0.6353883327016112,0.5,2.353952265063893,0.3717976516979247,True,resolved,2.65629914765023,0.6640747869125575,-0.17778300841138062
550.0,0.6682628855998672,0.5,2.2456178856302453,0.35133585865719297,True,resolved,2.5294826344823678,0.6323706586205919,-0.19902828911109752
550.0,0.6688298238964329,0.5,2.243867378820141,0.35099718487081977,True,resolved,2.527410237926736,0.631852559481684,-0.1993842509483448
550.0,0.7022713150912545,0.5,2.1448553173205682,0.3313980018780663,True,resolved,2.4114096228799977,0.6028524057199994,-0.21978900166969934
550.0,0.7386277204483878,0.5,2.0465060172940963,0.3110130259291409,True,resolved,2.297949947714389,0.5744874869285973,-0.2407194263613271
550.0,0.7781886018183509,0.5,1.9483770342130704,0.2896730018413676,True,resolved,2.187452988019306,0.5468632470048265,-0.26212126323964363
550.0,0.8164016305125923,0.5,1.8613291374510026,0.2698231758926144,True,resolved,2.091853606509322,0.5229634016273305,-0.28152870315462397
550.0,0.8191458966508958,0.5,1.8553065421809398,0.2684156759882129,True,resolved,2.085370610534921,0.5213426526337303,-0.282876742662272
550.0,0.8601031914834406,0.5,1.7689387973532382,0.24771280722765704,True,resolved,1.9941681481697149,0.4985420370424287,-0.3022982161169214
550.0,0.9023647554129298,0.5,1.6912087163497802,0.22819720828694193,True,resolved,1.9100306293169296,0.4775076573292324,-0.32101965966313034
550.0,0.9973793796812823,0.5,1.5488082637830622,0.1899976571813956,True,resolved,1.751950124959787,0.43798753123994677,-0.35853825294513814
550.0,1.1005248747756682,0.5,1.4225177772460418,0.1530577024917957,True,resolved,1.6199927419875726,0.40499818549689315,-0.3925469225395339
550.0,1.102398582221007,0.5,1.4204007356355972,0.15241088855382304,True,resolved,1.6179224832107642,0.40448062080269104,-0.3931022811717812
550.0,1.1584472366059666,0.5,1.3614360882035847,0.13399725846187505,True,resolved,1.5608474425065928,0.3902118606266482,-0.408699534207464
550.0,1.216369598436265,0.5,1.3072784847374157,0.11636811359559394,True,resolved,1.5111233181149577,0.3777808295287394,-0.42276008410905613
550.0,1.218475796513094,0.5,1.3055364409321648,0.1157889986215283,True,resolved,1.5094824864151497,0.3773706216037874,-0.4232319127879136
550.0,1.3467753774655815,0.5,1.2135776269401022,0.08406756136303367,True,resolved,1.4287712914079211,0.3571928228519803,-0.4470972760631546
