wavelength_nm,diameter_mm,myopia_d,stroke_arcmin,contrast_ratio,optical_d50_arcmin,optical_log_mar
550.0,0.3,0.5,0.5,-0.013576506044241885,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,0.8,-0.031743554779882395,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,1.2,-0.054258152761417974,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,1.8,-0.05813512422864204,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,2.5,-0.04021429420263898,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,3.5,0.02696730493792377,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,5.0,0.20293996293630945,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,7.0,0.36190696198734884,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,10.0,0.49268813489698704,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,14.0,0.5987575124052534,5.5895789540651135,0.14531910371176304
550.0,0.3,0.5,20.0,0.6896427589380664,5.5895789540651135,0.14531910371176304
550.0,0.3315885423378064,0.5,0.5,-0.016540037610776565,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,0.8,-0.03706371231489777,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,1.2,-0.0585657242551688,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,1.8,-0.05424041410070149,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,2.5,-0.031010308137685447,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,3.5,0.07094732742380302,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,5.0,0.2536411185511057,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,7.0,0.40231308718408043,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,10.0,0.5264214506457341,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,14.0,0.6258906955569457,5.057935926010706,0.10191333206788118
550.0,0.3315885423378064,0.5,20.0,0.7115064699478284,5.057935926010706,0.10191333206788118
550.0,0.3665032046990376,0.5,0.5,-0.019836600804986355,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,0.8,-0.04273858690381428,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,1.2,-0.06116985947964937,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,1.8,-0.0493987438826769,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,2.5,-0.014409209069346082,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,3.5,0.12146650950734995,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,5.0,0.30173550378023856,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,7.0,0.43946964296232677,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,10.0,0.5586556888570261,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,14.0,0.6516439449371284,4.5772355313380295,0.05854326921570227
550.0,0.3665032046990376,0.5,20.0,0.7321230692368841,4.5772355313380295,0.05854326921570227
550.0,0.4050942113609619,0.5,0.5,-0.023685947710439137,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,0.8,-0.04843877446834902,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,1.2,-0.061354173849865114,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,1.8,-0.04392177962931183,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,2.5,0.01366234259042267,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,3.5,0.17381340093774886,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,5.0,0.3466480562912652,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,7.0,0.47387223913647913,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,10.0,0.5887787367385734,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,14.0,0.6761636845248231,4.142728766339762,0.015226508676094553
550.0,0.4050942113609619,0.5,20.0,0.7514166905752097,4.142728766339762,0.015226508676094553
550.0,0.4477486635155488,0.5,0.5,-0.0280586526571668,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,0.8,-0.053843082856609895,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,1.2,-0.05900075704291521,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,1.8,-0.036121501184345754,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,2.5,0.05396560044633361,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,3.5,0.22538605670376832,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,5.0,0.3881599159404742,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,7.0,0.5077202320195632,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,10.0,0.6166042685226394,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,14.0,0.6989464410821925,3.7501555963399618,-0.028010704072250706
550.0,0.4477486635155488,0.5,20.0,0.7693436351825077,3.7501555963399618,-0.028010704072250706
550.0,0.4492873987401234,0.5,0.5,-0.02822109946681995,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,0.8,-0.054009382345477794,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,1.2,-0.05887588153983865,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,1.8,-0.035773526960203285,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,2.5,0.055533196811280855,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,3.5,0.2271266795925468,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,5.0,0.38951764644864634,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,7.0,0.5088733836384902,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,10.0,0.6175158085533191,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,14.0,0.6996949555652247,3.737398851199006,-0.029490543563517824
550.0,0.4492873987401234,0.5,20.0,0.7699499293415901,3.737398851199006,-0.029490543563517824
550.0,0.47293410393697205,0.5,0.5,-0.030708523696128292,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,0.8,-0.05642349708745539,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,1.2,-0.056812404168699614,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,1.8,-0.029561195138955568,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,2.5,0.0799771917321944,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,3.5,0.2528510561251303,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,5.0,0.4094226772548178,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,7.0,0.5260002922918777,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,10.0,0.6309412755595475,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,14.0,0.7106739191937557,3.551908113311556,-0.051598269130724156
550.0,0.47293410393697205,0.5,20.0,0.7786917640135163,3.551908113311556,-0.051598269130724156
550.0,0.4948944222294061,0.5,0.5,-0.032969076689260336,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,0.8,-0.058294225831981926,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,1.2,-0.054662263499762644,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,1.8,-0.0221793486991868,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,2.5,0.10273527245512142,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,3.5,0.27488433379204646,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,5.0,0.42622465182221986,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,7.0,0.5407322580301978,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,10.0,0.6425520687228703,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,14.0,0.7201159902613221,3.395711745396012,-0.07112917450786936
550.0,0.4948944222294061,0.5,20.0,0.78614085085978,3.395711745396012,-0.07112917450786936
550.0,0.4965808091338207,0.5,0.5,-0.03314126580998396,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,0.8,-0.058425755427858196,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,1.2,-0.05449118239628477,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,1.8,-0.02154071356464595,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,2.5,0.10447697811513992,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,3.5,0.2765170876813235,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,5.0,0.4274617108794471,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,7.0,0.5418237936219261,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,10.0,0.6434180280089594,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,14.0,0.720817711080595,3.3842963984468186,-0.07259159955764707
550.0,0.4965808091338207,0.5,20.0,0.7866962857006717,3.3842963984468186,-0.07259159955764707
550.0,0.5470044002605323,0.5,0.5,-0.038325293882432804,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,0.8,-0.061167501177905155,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,1.2,-0.049231918287584886,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,1.8,0.0022777871788117366,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,2.5,0.15465805976895547,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,3.5,0.32121085771861263,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,5.0,0.4610517150290632,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,7.0,0.5717832534891618,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,10.0,0.6673879565418117,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,14.0,0.7400944172837115,3.076023262797929,-0.11407037578160802
550.0,0.5470044002605323,0.5,20.0,0.8017325806537048,3.076023262797929,-0.11407037578160802
550.0,0.5502624373878341,0.5,0.5,-0.03865090736545732,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,0.8,-0.061270314790866906,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,1.2,-0.04889719406921141,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,1.8,0.004116785765752256,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,2.5,0.15778246254602643,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,3.5,0.32389301960006683,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,5.0,0.46307425239070565,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,7.0,0.5735785285804474,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,10.0,0.668825720765036,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,14.0,0.7412412787262411,3.058086046462328,-0.11661029018036222
550.0,0.5502624373878341,0.5,20.0,0.8026258288292939,3.058086046462328,-0.11661029018036222
550.0,0.5792236183029833,0.5,0.5,-0.041507248428220456,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,0.8,-0.06181881848721533,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,1.2,-0.04594344474146494,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,1.8,0.021838602773744144,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,2.5,0.18434313020639123,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,3.5,0.3461181459783414,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,5.0,0.48010442479070736,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,7.0,0.5884838855897476,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,10.0,0.6808270065446115,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,14.0,0.7508288986025639,2.90772227842246,-0.13850706737632093
550.0,0.5792236183029833,0.5,20.0,0.8101563577685318,2.90772227842246,-0.13850706737632093
550.0,0.6046013057825199,0.5,0.5,-0.043922917478414134,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,0.8,-0.06176401327921012,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,1.2,-0.043240072747492336,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,1.8,0.03897974929138817,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,2.5,0.20627019508888583,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,3.5,0.3639924388403627,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,5.0,0.4943435568664337,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,7.0,0.6004561842917964,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,10.0,0.6904855555584298,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,14.0,0.7585362422741228,2.788130323948162,-0.15674692145409258
550.0,0.6046013057825199,0.5,20.0,0.8162249245141199,2.788130323948162,-0.15674692145409258
550.0,0.6081847992181325,0.5,0.5,-0.04426208456783034,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,0.8,-0.06172140584549275,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,1.2,-0.042840860378951226,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,1.8,0.04149548137728277,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,2.5,0.2092626750421734,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,3.5,0.36639753234277533,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,5.0,0.49630479808060196,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,7.0,0.6020711882871356,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,10.0,0.6917891497390682,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,14.0,0.7595795207164389,2.772073299286001,-0.1592552816022759
550.0,0.6081847992181325,0.5,20.0,0.8170405813943615,2.772073299286001,-0.1592552816022759
550.0,0.6353883327016112,0.5,0.5,-0.046697049156281374,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,0.8,-0.061175128515134666,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,1.2,-0.03968232429572687,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,1.8,0.06100166465944428,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,2.5,0.23118420536231343,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,3.5,0.3837696531177872,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,5.0,0.5107439245138187,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,7.0,0.6137624167271046,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,10.0,0.701236847827359,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,14.0,0.767206111370409,2.65629914765023,-0.17778300841138062
550.0,0.6353883327016112,0.5,20.0,0.8229926995570713,2.65629914765023,-0.17778300841138062
550.0,0.6682628855998672,0.5,0.5,-0.049415604324182454,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,0.8,-0.05998956906603238,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,1.2,-0.03524349068643398,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,1.8,0.08499377416624217,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,2.5,0.25579409007817944,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,3.5,0.40287230725346124,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,5.0,0.5270194117224084,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,7.0,0.6266571454202333,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,10.0,0.7116785367506201,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,14.0,0.7756924376803686,2.5294826344823678,-0.19902828911109752
550.0,0.6682628855998672,0.5,20.0,0.8296035671622047,2.5294826344823678,-0.19902828911109752
550.0,0.6688298238964329,0.5,0.5,-0.049460188002424216,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,0.8,-0.05996495189224792,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,1.2,-0.03515722233119271,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,1.8,0.08540528142618788,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,2.5,0.25619658060622985,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,3.5,0.40318227339887097,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,5.0,0.5272872957032158,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,7.0,0.6268690985285574,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,10.0,0.7118509605915383,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,14.0,0.7758320234599105,2.527410237926736,-0.1993842509483448
550.0,0.6688298238964329,0.5,20.0,0.8297118657975355,2.527410237926736,-0.1993842509483448
550.0,0.7022713150912545,0.5,0.5,-0.051977194599865016,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,0.8,-0.05838211059846191,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,1.2,-0.029474334636862186,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,1.8,0.10950701863002041,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,2.5,0.27910075909185256,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,3.5,0.4207119422584598,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,5.0,0.5425221453790974,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,7.0,0.6389864059753912,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,10.0,0.7216648963795694,2.4114096228799977,-0.21978900166969934
550.0,0.7022713150912545,0.5,14.0,0.7837011651415159,2.4114096228799977,-0.21978900166969934
