wavelength_nm,diameter_mm,myopia_d,d50_arcmin,log_mar,mtf50_cpd,first_dark_ring_arcmin,theory_airy_radius_arcmin,theory_geometric_diameter_arcmin,angular_pixel_arcmin,retinal_pixel_m,retinal_window_mm,psf_total
400.0,0.3,0.0,4.063770709010072,0.006869204350230809,0.2477488797062794,5.677894791977987,5.592068080476836,0.0,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.00000000028744
400.0,0.3,0.5,4.066375665440666,0.007147506410246503,0.24780624908937046,5.677966498970303,5.592068080476836,0.5156620156177409,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999989870518
400.0,0.3,1.0,4.074201633636238,0.00798252725092374,0.24797873136818657,5.678182668157722,5.592068080476836,1.0313240312354819,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.000000003357351
400.0,0.3,1.5,4.087282651597888,0.009374680585907826,0.24826764625276818,5.67854586898873,5.592068080476836,1.5469860468532226,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000029021838
400.0,0.3,2.0,4.105675410403021,0.01132462028160799,0.24867506573110218,5.679061209148188,5.592068080476836,2.0626480624709638,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999969463019
400.0,0.3,2.5,4.12946013545993,0.013833286595720964,0.24920404863936838,5.679735553047156,5.592068080476836,2.578310078088705,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000023701296
400.0,0.3,3.0,4.158741464152058,0.016901931157160852,0.24985857178673582,5.680578322262524,5.592068080476836,3.093972093706445,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.999999999892755
400.0,0.3,3.5,4.193648504148826,0.020532035396072724,0.25064359289077925,5.68160163197208,5.592068080476836,3.609634109324187,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999998104344
400.0,0.3,4.0,4.23433672349572,0.024725399753026178,0.25156515306899296,5.6828208126782815,5.592068080476836,4.1252961249419275,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000008630403
400.0,0.3,4.5,4.280989080997684,0.029484128805225485,0.2526304971080353,5.684254908503108,5.592068080476836,4.640958140559668,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999988694752
400.0,0.3,5.0,4.333817695435381,0.0348106471898322,0.2538481621304323,5.685927912852673,5.592068080476836,5.15662015617741,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999974048946
400.0,0.3,5.5,4.393065476033051,0.04070768488703707,0.2552280706378553,5.687869618643234,5.592068080476836,5.672282171795151,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000003253624
400.0,0.3,6.0,4.459008809006313,0.047178338994072325,0.2567817858182741,5.690116213775338,5.592068080476836,6.18794418741289,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999972564622
400.0,0.3315885423378064,0.0,3.6766385355409223,-0.03660905651933428,0.2738356329587658,5.136994256749941,5.059343764761244,0.0,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,1.00000000028744
400.0,0.3315885423378064,0.5,3.680156557721078,-0.03619369691854413,0.27393029188986795,5.1370911010624045,5.059343764761244,0.5699587203255395,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999967936714
400.0,0.3315885423378064,1.0,3.6907335692398817,-0.034947296331521584,0.27421527575389215,5.13738369709503,5.059343764761244,1.139917440651079,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999983041659
400.0,0.3315885423378064,1.5,3.708437790217308,-0.03286899329549312,0.27469372232060785,5.137877702158525,5.059343764761244,1.7098761609766187,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999985895737
400.0,0.3315885423378064,2.0,3.7333844513540186,-0.029957276916106397,0.2753709271614631,5.138583094538746,5.059343764761244,2.279834881302158,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999959582652
400.0,0.3315885423378064,2.5,3.7657367637681896,-0.026210033065942266,0.2762544376022355,5.139514370857352,5.059343764761244,2.8497936016276983,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,1.0000000027749232
400.0,0.3315885423378064,3.0,3.805708083078088,-0.0216245186671571,0.27735429451302285,5.140691674639725,5.059343764761244,3.4197523219532373,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999983732141
400.0,0.3315885423378064,3.5,3.8535647506998876,-0.01619733057881562,0.2786832331872471,5.142141485268751,5.059343764761244,3.9897110422787776,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999982927714
400.0,0.3315885423378064,4.0,3.9096294322717884,-0.00992439586209447,0.28025688178719743,5.143899163995307,5.059343764761244,4.559669762604316,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999980085386
400.0,0.3315885423378064,4.5,3.9742858781686348,-0.00280088777770398,0.2820944022941603,5.14600946881371,5.059343764761244,5.1296284829298555,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.9999999991170361
400.0,0.3315885423378064,5.0,4.0479833826953895,0.005178729692883764,0.2842186628877212,5.1485325746403765,5.059343764761244,5.699587203255397,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,0.999999999730798
400.0,0.3315885423378064,5.5,4.131243549169753,0.014020807362650533,0.2866570524983256,5.151545621844041,5.059343764761244,6.269545923580935,0.5183753857337341,3.7697321843122087e-06,7.7204115134714035,1.0000000009281087
