wavelength_nm,diameter_mm,myopia_d,d50_arcmin,log_mar,mtf50_cpd,first_dark_ring_arcmin,theory_airy_radius_arcmin,theory_geometric_diameter_arcmin,angular_pixel_arcmin,retinal_pixel_m,retinal_window_mm,psf_total
400.0,0.3,0.0,4.063770709010072,0.006869204350230809,0.2477488797062794,5.677894791977987,5.592068080476836,0.0,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.00000000028744
400.0,0.3,0.5,4.066375665440666,0.007147506410246503,0.24780624908937046,5.677966498970303,5.592068080476836,0.5156620156177409,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999989870518
400.0,0.3,1.0,4.074201633636238,0.00798252725092374,0.24797873136818657,5.678182668157722,5.592068080476836,1.0313240312354819,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.000000003357351
400.0,0.3,1.5,4.087282651597888,0.009374680585907826,0.24826764625276818,5.67854586898873,5.592068080476836,1.5469860468532226,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000029021838
400.0,0.3,2.0,4.105675410403021,0.01132462028160799,0.24867506573110218,5.679061209148188,5.592068080476836,2.0626480624709638,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999969463019
400.0,0.3,2.5,4.12946013545993,0.013833286595720964,0.24920404863936838,5.679735553047156,5.592068080476836,2.578310078088705,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000023701296
400.0,0.3,3.0,4.158741464152058,0.016901931157160852,0.24985857178673582,5.680578322262524,5.592068080476836,3.093972093706445,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.999999999892755
400.0,0.3,3.5,4.193648504148826,0.020532035396072724,0.25064359289077925,5.68160163197208,5.592068080476836,3.609634109324187,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999998104344
400.0,0.3,4.0,4.23433672349572,0.024725399753026178,0.25156515306899296,5.6828208126782815,5.592068080476836,4.1252961249419275,0.5729577951308233,4.166666666666668e-06,8.533333333333335,1.0000000008630403
400.0,0.3,4.5,4.280989080997684,0.029484128805225485,0.2526304971080353,5.684254908503108,5.592068080476836,4.640958140559668,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999988694752
400.0,0.3,5.0,4.333817695435381,0.0348106471898322,0.2538481621304323,5.685927912852673,5.592068080476836,5.15662015617741,0.5729577951308233,4.166666666666668e-06,8.533333333333335,0.9999999974048946
