wavelength_nm,diameter_mm,myopia_d,d50_arcmin,log_mar,mtf50_cpd,first_dark_ring_arcmin,theory_airy_radius_arcmin,theory_geometric_diameter_arcmin,angular_pixel_arcmin,retinal_pixel_m,retinal_window_mm,psf_total
450.0,0.3,0.0,4.571742047636331,0.0580217267976121,0.22022122640558167,6.387631640975235,6.291076590536441,0.0,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.00000000028744
450.0,0.3,0.5,4.574057380017388,0.05824161705571374,0.22026150981060863,6.387695357928856,6.291076590536441,0.5156620156177409,0.6445775195221762,4.687500000000001e-06,9.600000000000003,0.9999999996243532
450.0,0.3,1.0,4.581011079412274,0.058901350813062234,0.22038257842426448,6.387887232514711,6.291076590536441,1.0313240312354819,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000050307294
450.0,0.3,1.5,4.592627259291071,0.06000120788878437,0.2205851431706663,6.388209181384765,6.291076590536441,1.5469860468532226,0.6445775195221762,4.687500000000001e-06,9.600000000000003,0.9999999911774058
450.0,0.3,2.0,4.608945504145557,0.06154158175885114,0.22087037787948083,6.388664668285785,6.291076590536441,2.0626480624709638,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000011497334
450.0,0.3,2.5,4.630022025491652,0.06352306567848608,0.22123995904024388,6.38925834990426,6.291076590536441,2.578310078088705,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000003168772
450.0,0.3,3.0,4.655929530302673,0.0659464071110568,0.22169605302414602,6.389996943018373,6.291076590536441,3.093972093706445,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000056780456
450.0,0.3,3.5,4.6867583204526415,0.06881256773951243,0.22224137726732096,6.390888303064392,6.291076590536441,3.609634109324187,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.000000002859935
450.0,0.3,4.0,4.722615933070662,0.07212263666873707,0.22287921662063592,6.391942911000337,6.291076590536441,4.1252961249419275,0.6445775195221762,4.687500000000001e-06,9.600000000000003,0.9999999985171125
450.0,0.3,4.5,4.7636288139326854,0.0758779222004075,0.22361346939466042,6.3931734142630665,6.291076590536441,4.640958140559668,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000008630403
450.0,0.3,5.0,4.809942729154039,0.08007991403538098,0.22444869058688602,6.3945949151273185,6.291076590536441,5.15662015617741,0.6445775195221762,4.687500000000001e-06,9.600000000000003,0.9999999985999689
450.0,0.3,5.5,4.8617238601815576,0.08473029649791851,0.22539015357889708,6.396225956363211,6.291076590536441,5.672282171795151,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000009658492
450.0,0.3,6.0,4.9191599257321,0.08983095071377133,0.22644389400096113,6.398089147116738,6.291076590536441,6.18794418741289,0.6445775195221762,4.687500000000001e-06,9.600000000000003,1.0000000060970788
550.0,0.3,0.0,5.587684724888848,0.14517190251651219,0.1801810034227487,7.807105338969731,7.6890936106556484,0.0,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.00000000028744
550.0,0.3,0.5,5.5895789540651135,0.14531910371176304,0.18020305299256723,7.807157414511007,7.6890936106556484,0.5156620156177409,0.787816968304882,5.729166666666668e-06,11.733333333333334,0.999999999941042
550.0,0.3,1.0,5.595265794056446,0.14576073048372856,0.18026932333274295,7.807314217964549,7.6890936106556484,1.0313240312354819,0.787816968304882,5.729166666666668e-06,11.733333333333334,0.9999999934510871
550.0,0.3,1.5,5.604758169604511,0.14649688735645108,0.18038003331870253,7.80757665319598,7.6890936106556484,1.5469860468532226,0.787816968304882,5.729166666666668e-06,11.733333333333334,0.9999999990635562
550.0,0.3,2.0,5.61807802300086,0.14752777499424324,0.18053564859070662,7.807946616676122,7.6890936106556484,2.0626480624709638,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000045442283
550.0,0.3,2.5,5.635255879247315,0.1488536494485093,0.18073674314057347,7.8084267659210544,7.6890936106556484,2.578310078088705,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000006267742
550.0,0.3,3.0,5.656331308952527,0.1504748481871695,0.18098413141748834,7.8090204241702965,7.6890936106556484,3.093972093706445,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000025129847
550.0,0.3,3.5,5.681353249440638,0.15239180191220528,0.18127876232239853,7.809732049288661,7.6890936106556484,3.609634109324187,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000023619664
550.0,0.3,4.0,5.7103796205486,0.15460498935733383,0.18162183583440844,7.810566629565285,7.6890936106556484,4.1252961249419275,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000004468745
550.0,0.3,4.5,5.7434781013733565,0.1571149782086278,0.18201471297558092,7.811530662451925,7.6890936106556484,4.640958140559668,0.787816968304882,5.729166666666668e-06,11.733333333333334,0.999999992258365
550.0,0.3,5.0,5.780726517546596,0.15992243234054898,0.1824589901028234,7.812631518427799,7.6890936106556484,5.15662015617741,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.000000002229133
550.0,0.3,5.5,5.822212994806615,0.16302809791930764,0.18295647495926765,7.8138786174326365,7.6890936106556484,5.672282171795151,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000008630403
550.0,0.3,6.0,5.868036204803768,0.16643279337600062,0.18350926635824474,7.815281826439041,7.6890936106556484,6.18794418741289,0.787816968304882,5.729166666666668e-06,11.733333333333334,1.0000000007062044
650.0,0.3,0.0,6.603627402141366,0.21772256966512393,0.15246084905001814,9.226579036964228,9.087110630774857,0.0,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.00000000028744
650.0,0.3,0.5,6.605230118704104,0.21782796121190526,0.15247421612538983,9.226623089153456,9.087110630774857,0.5156620156177409,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.0000000007882246
650.0,0.3,1.0,6.610040795540578,0.21814414852431716,0.15251433323959018,9.226755683712849,9.087110630774857,1.0313240312354819,0.9310564170875878,6.770833333333334e-06,13.866666666666667,0.9999999986178215
650.0,0.3,1.5,6.618067280445505,0.2186711866330276,0.15258133072097202,9.226977275597507,9.087110630774857,1.5469860468532226,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.0000000038670738
650.0,0.3,2.0,6.6293224472285885,0.21940915208938028,0.15267538635767314,9.227289058927274,9.087110630774857,2.0626480624709638,0.9310564170875878,6.770833333333334e-06,13.866666666666667,0.9999999960857245
650.0,0.3,2.5,6.643825516352405,0.2203582269305673,0.15279675803726198,9.227692613390754,9.087110630774857,2.578310078088705,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.0000000007079233
650.0,0.3,3.0,6.661599727255485,0.22151854254104922,0.15294578681176432,9.22818997610128,9.087110630774857,3.093972093706445,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.0000000022789395
650.0,0.3,3.5,6.68267447956474,0.22289031534834045,0.15312290371480192,9.228783485730833,9.087110630774857,3.609634109324187,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.0000000028567508
650.0,0.3,4.0,6.7070851340157125,0.2244738276112566,0.15332859651807912,9.229476565448268,9.087110630774857,4.1252961249419275,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.000000000168702
650.0,0.3,4.5,6.734871747119054,0.2262693384936514,0.1535634538973055,9.230272569416975,9.087110630774857,4.640958140559668,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.000000000225516
650.0,0.3,5.0,6.766080814942714,0.22827718942433498,0.15382813532413628,9.23117594386467,9.087110630774857,5.15662015617741,0.9310564170875878,6.770833333333334e-06,13.866666666666667,0.9999999993778188
650.0,0.3,5.5,6.800764764160766,0.23049776169881284,0.15412341665936322,9.232191740348211,9.087110630774857,5.672282171795151,0.9310564170875878,6.770833333333334e-06,13.866666666666667,0.9999999982325847
650.0,0.3,6.0,6.8389819792766176,0.2329314680402428,0.15445015895354228,9.233325298253284,9.087110630774857,6.18794418741289,0.9310564170875878,6.770833333333334e-06,13.866666666666667,1.000000002604196
450.0,0.3315885423378064,0.0,4.136218352483537,0.014543465928046943,0.24340945151890298,5.779118538843683,5.6917617353564,0.0,0.5831723089504508,4.240948707351234e-06,8.685462952655328,1.00000000028744
450.0,0.3315885423378064,0.5,4.139345195532544,0.0148716540299702,0.24347591084117456,5.779204639025105,5.6917617353564,0.5699587203255395,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999983959182
450.0,0.3315885423378064,1.0,4.148741622671416,0.0158563971423285,0.24367588067475,5.779464297038529,5.6917617353564,1.139917440651079,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999981481236
450.0,0.3315885423378064,1.5,4.164455584019946,0.017498243151956784,0.24401108104810873,5.779901408630746,5.6917617353564,1.7098761609766187,0.5831723089504508,4.240948707351234e-06,8.685462952655328,1.000000005407365
450.0,0.3315885423378064,2.0,4.18656780374615,0.019798137909016925,0.24448442876066245,5.780523005019479,5.6917617353564,2.279834881302158,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999969976978
450.0,0.3315885423378064,2.5,4.21519220562157,0.02275739117673153,0.24510006951436075,5.781339088972687,5.6917617353564,2.8497936016276983,0.5831723089504508,4.240948707351234e-06,8.685462952655328,1.0000000042123076
450.0,0.3315885423378064,3.0,4.250477170216482,0.02637769654806049,0.2458635118158373,5.782363146340157,5.6917617353564,3.4197523219532373,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999985355774
450.0,0.3315885423378064,3.5,4.292607307121889,0.030661169187206776,0.24678160555930212,5.783612818205469,5.6917617353564,3.9897110422787776,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999982700728
450.0,0.3315885423378064,4.0,4.341805182525505,0.035610341366598755,0.24786281931049825,5.785111087089549,5.6917617353564,4.559669762604316,0.5831723089504508,4.240948707351234e-06,8.685462952655328,1.0000000013560466
450.0,0.3315885423378064,4.5,4.398333111305761,0.04122812658528674,0.24911722825528662,5.78688655949472,5.6917617353564,5.1296284829298555,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999980085386
450.0,0.3315885423378064,5.0,4.462497194036966,0.047517964713375126,0.25055691320569423,5.788975447011132,5.6917617353564,5.699587203255397,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.9999999954202433
450.0,0.3315885423378064,5.5,4.534649133349534,0.05448369800747284,0.2521959998152086,5.791424031707392,5.6917617353564,6.269545923580935,0.5831723089504508,4.240948707351234e-06,8.685462952655328,1.000000003700942
450.0,0.3315885423378064,6.0,4.615191248448127,0.062129711092419465,0.25405107892694667,5.794290988969587,5.6917617353564,6.839504643906475,0.5831723089504508,4.240948707351234e-06,8.685462952655328,0.999999998745766
550.0,0.3315885423378064,0.0,5.055377986368767,0.10169364164694708,0.19915318760637518,7.063367103031168,6.95659767654671,0.0,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.00000000028744
550.0,0.3315885423378064,0.5,5.057935926010706,0.10191333206788118,0.1991895761484645,7.063437507585,6.95659767654671,0.5699587203255395,0.7127661553838842,5.183381753429286e-06,10.615565831023178,0.9999999977631749
550.0,0.3315885423378064,1.0,5.065618584027339,0.10257249513559295,0.19929896679876294,7.0636494710426065,6.95659767654671,1.139917440651079,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000044589652
550.0,0.3315885423378064,1.5,5.078451955520133,0.1036713568549117,0.1994819971176342,7.064005212729484,6.95659767654671,1.7098761609766187,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000008478394
550.0,0.3315885423378064,2.0,5.096480282656294,0.10521035701793202,0.19973971819823608,7.064508300966716,6.95659767654671,2.279834881302158,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000018585193
550.0,0.3315885423378064,2.5,5.119765471708386,0.10719007576588498,0.20007363762122346,7.065164307211463,6.95659767654671,2.8497936016276983,0.7127661553838842,5.183381753429286e-06,10.615565831023178,0.999999997377407
550.0,0.3315885423378064,3.0,5.148387722823579,0.10961125466314654,0.20048570997752305,7.0659801761840315,6.95659767654671,3.4197523219532373,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000002636125
550.0,0.3315885423378064,3.5,5.182446615431647,0.11247484577795207,0.20097840671355047,7.066964913744005,6.95659767654671,3.9897110422787776,0.7127661553838842,5.183381753429286e-06,10.615565831023178,0.999999995480766
550.0,0.3315885423378064,4.0,5.222061079995376,0.11578195592721498,0.20155468489831457,7.06812999853438,6.95659767654671,4.559669762604316,0.7127661553838842,5.183381753429286e-06,10.615565831023178,0.999999997539017
550.0,0.3315885423378064,4.5,5.267370398782428,0.11953386746834663,0.20221805715216365,7.069489140781835,6.95659767654671,5.1296284829298555,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000020405735
550.0,0.3315885423378064,5.0,5.318535863513132,0.12373210075794941,0.2029726526452892,7.071059421532008,6.95659767654671,5.699587203255397,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000080478566
550.0,0.3315885423378064,5.5,5.375740469373707,0.12837830230418684,0.20382318675432545,7.072861350493546,6.95659767654671,6.269545923580935,0.7127661553838842,5.183381753429286e-06,10.615565831023178,0.9999999980085386
550.0,0.3315885423378064,6.0,5.439191682922568,0.13347437275815477,0.20477517465804856,7.0749190699134115,6.95659767654671,6.839504643906475,0.7127661553838842,5.183381753429286e-06,10.615565831023178,1.0000000004357736
650.0,0.3315885423378064,0.0,5.974537620253997,0.1742443087955588,0.16851423566693283,8.347615667218653,8.22143361773702,0.0,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.00000000028744
650.0,0.3315885423378064,0.5,5.976701995844729,0.1744016107016859,0.168536275520008,8.347675140786494,8.22143361773702,0.5699587203255395,0.8423600018173177,6.125814799507338e-06,12.545668709391027,0.999999997738115
650.0,0.3315885423378064,1.0,5.983199893034307,0.17487352112324225,0.16860250882169436,8.347854391464038,8.22143361773702,1.139917440651079,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000047019588
650.0,0.3315885423378064,1.5,5.994047593594592,0.1756601956556117,0.1687131968211632,8.348154404750488,8.22143361773702,1.7098761609766187,0.8423600018173177,6.125814799507338e-06,12.545668709391027,0.9999999985051995
650.0,0.3315885423378064,2.0,6.009271460066914,0.17676183174772295,0.16886879951315936,8.34857755721519,8.22143361773702,2.279834881302158,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000021985909
650.0,0.3315885423378064,2.5,6.0289090223106845,0.1781787389784981,0.1690699453664738,8.349127020380372,8.22143361773702,2.8497936016276983,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000026794924
650.0,0.3315885423378064,3.0,6.053008467263065,0.17991129009872378,0.16931751005074855,8.349807023668307,8.22143361773702,3.4197523219532373,0.8423600018173177,6.125814799507338e-06,12.545668709391027,0.9999999942011324
650.0,0.3315885423378064,3.5,6.081629694405742,0.18195998143966155,0.16961254027469747,8.350622705302,8.22143361773702,3.9897110422787776,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000014668469
650.0,0.3315885423378064,4.0,6.114843569616674,0.18432536003268926,0.16995626333411673,8.35158073152457,8.22143361773702,4.559669762604316,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000007410264
650.0,0.3315885423378064,4.5,6.152733154435017,0.18700808870896354,0.17035017454970156,8.352688806308315,8.22143361773702,5.1296284829298555,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000003251484
650.0,0.3315885423378064,5.0,6.195393671531041,0.1900089164691203,0.17079598245230956,8.353956489761709,8.22143361773702,5.699587203255397,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000002517082
650.0,0.3315885423378064,5.5,6.242933206120552,0.19332869706024675,0.17129565882200976,8.35539418724324,8.22143361773702,6.269545923580935,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000065943535
650.0,0.3315885423378064,6.0,6.295472882789187,0.19696836625691447,0.17185141321661027,8.357015874149289,8.22143361773702,6.839504643906475,0.8423600018173177,6.125814799507338e-06,12.545668709391027,1.0000000003932092
450.0,0.3665032046990376,0.0,3.7421845067279995,-0.028934794941518405,0.2690392840679934,5.228574996680247,5.1495401758103325,0.0,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.00000000028744
450.0,0.3665032046990376,0.5,3.7464076079337145,-0.028444964619207907,0.2691489627384739,5.228691271554997,5.1495401758103325,0.6299726042182241,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000063794707
450.0,0.3665032046990376,1.0,3.759109000889921,-0.0269750724248219,0.2694794127527472,5.22904301563722,5.1495401758103325,1.2599452084364482,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,0.999999997390308
450.0,0.3665032046990376,1.5,3.780385715381071,-0.02452387786229639,0.2700349270493356,5.229638213532264,5.1495401758103325,1.8899178126546725,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,0.999999996588323
450.0,0.3665032046990376,2.0,3.8104011450971127,-0.021089292310759792,0.270822759152091,5.230491082152517,5.1495401758103325,2.5198904168728964,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,0.9999999989017976
450.0,0.3665032046990376,2.5,3.849387415716794,-0.016668369128938133,0.27185331540101587,5.231622819365564,5.1495401758103325,3.1498630210911203,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000008186338
450.0,0.3665032046990376,3.0,3.8976488270522025,-0.011257284135841747,0.2731405050251697,5.233062469627453,5.1495401758103325,3.779835625309345,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000023999713
450.0,0.3665032046990376,3.5,3.9555669862663665,-0.004851247777920263,0.27470208215005076,5.234849925805989,5.1495401758103325,4.409808229527569,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,0.9999999986714961
450.0,0.3665032046990376,4.0,4.023606103943107,0.0025554669880287354,0.27656007505965097,5.237037641683157,5.1495401758103325,5.039780833745793,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000011116132
450.0,0.3665032046990376,4.5,4.102320791201146,0.01096962677196326,0.2787415784467575,5.239696507177285,5.1495401758103325,5.669753437964016,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000025015792
450.0,0.3665032046990376,5.0,4.192364931826968,0.020399088225139608,0.281279409644253,5.242920768816007,5.1495401758103325,6.2997260421822405,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000038575965
450.0,0.3665032046990376,5.5,4.290716267131246,0.030469805494768076,0.2842132836653911,5.246838811301751,5.1495401758103325,6.929698646400464,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,0.9999999937650438
450.0,0.3665032046990376,6.0,4.399323302580837,0.041325887759030955,0.28759092730297325,5.251628875587371,5.1495401758103325,7.55967125061869,0.5276168212920421,3.8369378001886075e-06,7.858048614786268,1.0000000007673153
550.0,0.3665032046990376,0.0,4.573781063778667,0.05821538077738186,0.22012305060108553,6.39048055149808,6.293882437101516,0.0,0.6448650038013849,4.6895906446749645e-06,9.604281640294326,1.00000000028744
550.0,0.3665032046990376,0.5,4.5772355313380295,0.05854326921570227,0.22018309087344085,6.390575695082899,6.293882437101516,0.6299726042182241,0.6448650038013849,4.6895906446749645e-06,9.604281640294326,1.0000000066941004
550.0,0.3665032046990376,1.0,4.587616746019639,0.05952713803179571,0.2203637805638577,6.390862457845348,6.293882437101516,1.2599452084364482,0.6448650038013849,4.6895906446749645e-06,9.604281640294326,1.000000003475458
550.0,0.3665032046990376,1.5,4.604977574599257,0.061167528275152615,0.22066662889641664,6.391345495512397,6.293882437101516,1.8899178126546725,0.6448650038013849,4.6895906446749645e-06,9.604281640294326,0.9999999997495121
