pattern_kind,diameter_mm,diameter_factor_vs_anchor,pitch_mm,pitch_to_diameter_ratio,first_order_ghost_angle_arcmin,edge_clearance_mm,analytic_area_fraction,geometry_ok,reuse_status
square_packing,0.3176941663508056,0.5,2.0,6.295362684726013,20.62648062470964,1.6823058336491945,0.01981747734561743,True,coarse_check_only
square_packing,0.3176941663508056,0.5,4.0,12.590725369452025,41.25296124941928,3.6823058336491945,0.004954369336404358,True,coarse_check_only
square_packing,0.3176941663508056,0.5,8.0,25.18145073890405,82.50592249883856,7.6823058336491945,0.0012385923341010894,True,coarse_check_only
triangular_packing,0.3176941663508056,0.5,2.0,6.295362684726013,20.62648062470964,1.6823058336491945,0.022883251760303067,True,coarse_check_only
triangular_packing,0.3176941663508056,0.5,4.0,12.590725369452025,41.25296124941928,3.6823058336491945,0.005720812940075767,True,coarse_check_only
triangular_packing,0.3176941663508056,0.5,8.0,25.18145073890405,82.50592249883856,7.6823058336491945,0.0014302032350189417,True,coarse_check_only
hexagonal_packing,0.3176941663508056,0.5,2.0,6.295362684726013,20.62648062470964,1.6823058336491945,nan,True,coarse_check_only
hexagonal_packing,0.3176941663508056,0.5,4.0,12.590725369452025,41.25296124941928,3.6823058336491945,nan,True,coarse_check_only
hexagonal_packing,0.3176941663508056,0.5,8.0,25.18145073890405,82.50592249883856,7.6823058336491945,nan,True,coarse_check_only
square_packing,0.4447718328911278,0.7,2.0,4.496687631947152,20.62648062470964,1.5552281671088721,0.038842255597410155,True,coarse_check_only
square_packing,0.4447718328911278,0.7,4.0,8.993375263894304,41.25296124941928,3.555228167108872,0.009710563899352539,True,coarse_check_only
square_packing,0.4447718328911278,0.7,8.0,17.986750527788608,82.50592249883856,7.555228167108872,0.0024276409748381347,True,coarse_check_only
triangular_packing,0.4447718328911278,0.7,2.0,4.496687631947152,20.62648062470964,1.5552281671088721,0.04485117345019401,True,coarse_check_only
triangular_packing,0.4447718328911278,0.7,4.0,8.993375263894304,41.25296124941928,3.555228167108872,0.011212793362548502,True,coarse_check_only
triangular_packing,0.4447718328911278,0.7,8.0,17.986750527788608,82.50592249883856,7.555228167108872,0.0028031983406371255,True,coarse_check_only
hexagonal_packing,0.4447718328911278,0.7,2.0,4.496687631947152,20.62648062470964,1.5552281671088721,nan,True,coarse_check_only
hexagonal_packing,0.4447718328911278,0.7,4.0,8.993375263894304,41.25296124941928,3.555228167108872,nan,True,coarse_check_only
hexagonal_packing,0.4447718328911278,0.7,8.0,17.986750527788608,82.50592249883856,7.555228167108872,nan,True,coarse_check_only
square_packing,0.9530824990524168,1.5,2.0,2.0984542282420042,20.62648062470964,1.046917500947583,0.17835729611055687,True,coarse_check_only
square_packing,0.9530824990524168,1.5,4.0,4.1969084564840085,41.25296124941928,3.046917500947583,0.04458932402763922,True,coarse_check_only
square_packing,0.9530824990524168,1.5,8.0,8.393816912968017,82.50592249883856,7.0469175009475835,0.011147331006909804,True,coarse_check_only
triangular_packing,0.9530824990524168,1.5,2.0,2.0984542282420042,20.62648062470964,1.046917500947583,0.2059492658427276,True,coarse_check_only
triangular_packing,0.9530824990524168,1.5,4.0,4.1969084564840085,41.25296124941928,3.046917500947583,0.0514873164606819,True,coarse_check_only
triangular_packing,0.9530824990524168,1.5,8.0,8.393816912968017,82.50592249883856,7.0469175009475835,0.012871829115170475,True,coarse_check_only
hexagonal_packing,0.9530824990524168,1.5,2.0,2.0984542282420042,20.62648062470964,1.046917500947583,nan,True,coarse_check_only
hexagonal_packing,0.9530824990524168,1.5,4.0,4.1969084564840085,41.25296124941928,3.046917500947583,nan,True,coarse_check_only
hexagonal_packing,0.9530824990524168,1.5,8.0,8.393816912968017,82.50592249883856,7.0469175009475835,nan,True,coarse_check_only
square_packing,1.2707766654032224,2.0,2.0,1.5738406711815032,20.62648062470964,0.7292233345967776,0.3170796375298789,True,coarse_check_only
square_packing,1.2707766654032224,2.0,4.0,3.1476813423630063,41.25296124941928,2.7292233345967776,0.07926990938246972,True,coarse_check_only
square_packing,1.2707766654032224,2.0,8.0,6.295362684726013,82.50592249883856,6.729223334596778,0.01981747734561743,True,coarse_check_only
triangular_packing,1.2707766654032224,2.0,2.0,1.5738406711815032,20.62648062470964,0.7292233345967776,0.3661320281648491,True,coarse_check_only
triangular_packing,1.2707766654032224,2.0,4.0,3.1476813423630063,41.25296124941928,2.7292233345967776,0.09153300704121227,True,coarse_check_only
triangular_packing,1.2707766654032224,2.0,8.0,6.295362684726013,82.50592249883856,6.729223334596778,0.022883251760303067,True,coarse_check_only
hexagonal_packing,1.2707766654032224,2.0,2.0,1.5738406711815032,20.62648062470964,0.7292233345967776,nan,True,coarse_check_only
hexagonal_packing,1.2707766654032224,2.0,4.0,3.1476813423630063,41.25296124941928,2.7292233345967776,nan,True,coarse_check_only
hexagonal_packing,1.2707766654032224,2.0,8.0,6.295362684726013,82.50592249883856,6.729223334596778,nan,True,coarse_check_only
