comparison_group,pattern_kind,diameter_mm,pitch_mm,pitch_to_diameter_ratio,myopia_d,separation_to_width_ratio,max_ghost_peak_ratio,valley_visibility,ghost_count
diameter_pitch_grid,square_packing,1.190867424720697,1.5,1.259586053713583,0.5,0.11567896782492888,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,1.8491242752806438,1.5527540991511568,0.5,0.14260319169632296,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,2.2795070569547775,1.914156865521288,0.5,0.1757940156654467,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,2.8100612231257442,2.35967595115368,0.5,0.2167099878773622,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.190867424720697,2.8100612231257442,2.35967595115368,0.5,0.21670998787736215,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.190867424720697,2.8100612231257442,2.35967595115368,0.5,0.21670998787736204,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,3.464101615137754,2.9088893887161418,0.5,0.2671491328532029,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.190867424720697,3.464101615137754,2.9088893887161418,0.5,0.26714913285320285,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.190867424720697,3.464101615137754,2.9088893887161418,0.5,0.2671491328532028,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,4.270369592393405,3.5859319885208607,0.5,0.32932796445268764,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.190867424720697,4.270369592393405,3.5859319885208607,0.5,0.3293279644526874,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.190867424720697,4.270369592393405,3.5859319885208607,0.5,0.3293279644526874,0.0,nan,0
diameter_pitch_grid,square_packing,1.190867424720697,5.264296051809969,4.420555926319542,0.5,0.4059788890654837,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.190867424720697,5.264296051809969,4.420555926319542,0.5,0.4059788890654837,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.190867424720697,5.264296051809969,4.420555926319542,0.5,0.4059788890654837,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,1.539725852810784,1.1492842730327208,0.5,0.11891908401874007,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,1.8919045645122772,1.412157987802509,0.5,0.14611923119428294,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,2.3246364764794576,1.7351583322829087,0.5,0.17954081887683976,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,2.8563463766323403,2.1320379618260272,0.5,0.22060686591011436,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.339725852810784,2.8563463766323403,2.1320379618260272,0.5,0.22060686591011436,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.339725852810784,2.8563463766323403,2.1320379618260272,0.5,0.22060686591011427,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,3.509673321334376,2.6196951517886875,0.5,0.2710658756662335,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.339725852810784,3.509673321334376,2.6196951517886875,0.5,0.2710658756662334,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.339725852810784,3.509673321334376,2.6196951517886875,0.5,0.2710658756662334,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,4.31243455739744,3.2188932895113025,0.5,0.333066283533713,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.339725852810784,4.31243455739744,3.2188932895113025,0.5,0.33306628353371287,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.339725852810784,4.31243455739744,3.2188932895113025,0.5,0.33306628353371287,0.0,nan,0
diameter_pitch_grid,square_packing,1.339725852810784,5.298809920225012,3.955144934396805,0.5,0.40924793264480447,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.339725852810784,5.298809920225012,3.955144934396805,0.5,0.4092479326448044,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.339725852810784,5.298809920225012,3.955144934396805,0.5,0.40924793264480447,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,1.688584280900871,1.134355845729449,0.5,0.13057322579233585,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,2.0510141080447886,1.3778286754469438,0.5,0.1585988518678626,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,2.4912341770435513,1.6735593738339694,0.5,0.1926397671587633,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.4885842809008711,2.4912341770435513,1.6735593738339694,0.5,0.19263976715876321,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,3.025941021335156,2.0327643252445857,0.5,0.233987065189482,0.0,nan,0
