comparison_group,pattern_kind,diameter_mm,pitch_mm,pupil_diameter_mm,myopia_d,wavelength_nm,ring_count,ghost_index,ghost_x_arcmin,ghost_y_arcmin,ghost_radius_arcmin,ghost_azimuth_deg,multiplicity,total_weight,measured_peak,peak_ratio,above_visibility_threshold
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,1,0.0,-275.0197416627952,275.0197416627952,270.0,1,1.0,0.006892436274867773,1.0000150795290255,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,2,-275.0197416627952,0.0,275.0197416627952,180.0,1,1.0,0.0068924361331936185,1.0000150589736971,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,3,275.0197416627952,0.0,275.0197416627952,0.0,1,1.0,0.0068924358946285,1.0000150243605783,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,4,0.0,275.0197416627952,275.0197416627952,90.0,1,1.0,0.006892436084799528,1.0000150519522581,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,5,-275.0197416627952,-275.0197416627952,388.9366485798699,225.0,1,1.0,0.006891992605325955,0.9999507080623259,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,6,275.0197416627952,-275.0197416627952,388.9366485798699,315.0,1,1.0,0.0068919925192967805,0.9999506955804591,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,7,-275.0197416627952,275.0197416627952,388.9366485798699,135.0,1,1.0,0.006891992552128804,0.9999507003440169,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,8,275.0197416627952,275.0197416627952,388.9366485798699,45.0,1,1.0,0.0068919925192967805,0.9999506955804591,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,9,0.0,-550.0394833255904,550.0394833255904,270.0,1,1.0,0.006892573397187437,1.0000349744372894,True
fixed_hole_count_layout,square_packing,0.6353883327016112,2.0,8.0,3.0,550.0,0,10,-550.0394833255904,0.0,550.0394833255904,180.0,1,1.0,0.006892573548577749,1.0000349964023232,True
