wavelength_nm,myopia_d,retinal_d_opt_mm,retinal_metric,psf_d50_d_opt_mm,psf_metric,relative_difference_percent,reuse_status,reuse_previous_metrics
550.0,0.5,1.4885842809008711,0.06754932769241585,1.645324972836306,-0.46358435847362844,-9.526427576507041,retinal_primary_with_psf_crosscheck,True
550.0,1.0,1.1005248747756682,0.22029579401182794,1.102398582221007,-0.3144013372390807,-0.1699664237197949,retinal_primary_with_psf_crosscheck,True
550.0,1.5,0.9023647554129298,0.30456823232125374,0.9023647554129298,-0.22640694573506961,0.0,retinal_primary_with_psf_crosscheck,True
550.0,2.0,0.7781886018183509,0.36507638115122804,0.7781886018183509,-0.163845730375684,0.0,retinal_primary_with_psf_crosscheck,True
550.0,2.5,0.7022713150912545,0.4122267362221037,0.7022713150912545,-0.11555075594854038,0.0,retinal_primary_with_psf_crosscheck,True
550.0,3.0,0.6353883327016112,0.451508791574606,0.6353883327016112,-0.07580010084784336,0.0,retinal_primary_with_psf_crosscheck,True
550.0,3.5,0.5792236183029833,0.48600257783871903,0.6046013057825199,-0.04238789274064315,-4.197425185294783,retinal_primary_with_psf_crosscheck,True
550.0,4.0,0.5502624373878341,0.5151798677670956,0.5502624373878341,-0.013330732543693408,0.0,retinal_primary_with_psf_crosscheck,True
550.0,4.5,0.4965808091338207,0.5418847949394129,0.5470044002605323,0.013345951391884742,-9.218132633429533,retinal_primary_with_psf_crosscheck,True
550.0,5.0,0.4948944222294061,0.5630510319322395,0.4965808091338207,0.03496424188345029,-0.3395996932213561,retinal_primary_with_psf_crosscheck,True
550.0,5.5,0.47293410393697205,0.5835209854795674,0.47293410393697205,0.05567362563374312,0.0,retinal_primary_with_psf_crosscheck,True
550.0,6.0,0.4492873987401234,0.6025199766901639,0.4492873987401234,0.07471489698414734,0.0,retinal_primary_with_psf_crosscheck,True
